Daily_Visitor_Cap,Eco_Investment_Ratio,Glacier_Retreat_Index,Net_Economic_Income,Social_Pressure_Index,Fixed_Tax_Rate,Fixed_Env_Fee,Fixed_Infra_Inv,Fixed_Alcohol_Limit
8000.0,0.2,0.006694148041768797,662317346.5600001,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.2122448979591837,0.006613495270213504,661048303.36,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.22448979591836737,0.006534762811812439,659779260.16,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.23673469387755103,0.006457882890490879,658510216.96,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.2489795918367347,0.006382790882564212,657241173.76,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.2612244897959184,0.006309425135565265,655972130.5600001,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.27346938775510204,0.006237726799424372,654703087.36,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.2857142857142857,0.006167639669030607,653434044.16,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.2979591836734694,0.006099110037288986,652165000.96,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.3102040816326531,0.0060320865578662435,650895957.76,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.32244897959183677,0.005966520116888017,649626914.56,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.3346938775510204,0.005902363712913656,648357871.36,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.34693877551020413,0.0058395723445722565,647088828.16,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.3591836734693878,0.005778102905295392,645819784.96,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.37142857142857144,0.005717914084629076,644550741.76,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.38367346938775515,0.005658966275650167,643281698.5600001,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.3959183673469388,0.005601221488051172,642012655.36,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.40816326530612246,0.005544643266492673,640743612.16,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.42040816326530617,0.0054891966138546095,639474568.96,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.4326530612244898,0.005434847919046923,638205525.76,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.4448979591836735,0.0053815648890666486,636936482.56,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.4571428571428572,0.00532931648501285,635667439.36,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.46938775510204084,0.0052780728617930275,634398396.16,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.48163265306122455,0.005227805311274885,633129352.96,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.4938775510204082,0.005178486208655925,631860309.76,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.5061224489795919,0.005130088961840378,630591266.56,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.5183673469387755,0.005082587963628526,629322223.36,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.5306122448979592,0.005035958546537828,628053180.16,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.5428571428571429,0.004990176940088335,626784136.96,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.5551020408163265,0.004945220230397039,625515093.76,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.5673469387755102,0.0049010663219367905,624246050.56,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.5795918367346939,0.004857693901325742,622977007.36,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.5918367346938775,0.004815082403022609,621707964.16,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.6040816326530613,0.004773211976811746,620438920.96,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.616326530612245,0.004732063456970052,619169877.76,0.021594354183105437,0.05,45.0,0.1,2
8000.0,0.6285714285714286,0.004691618333015033,617900834.56,0.021594354183105437,0.05,45.0,0.1,2
